Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_______ ________ _________,Creative Design and Innovation,11
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_______ ________ ________ _________,CCDI,1
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,________ __________ ________ _______,National and Social Education,18
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_________,Mathematics,19
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,______ ______,Health Sciences,21
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,7
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,________,Physics,11
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,________,Chemistry,11
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_____ __________,English,12
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_____ _______,Arabic Language,29
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_____ _______ _ ________ _________,Arabic and Islamic Studies,15
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_______,Engineering,10
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_____ _______,Information Technology,1
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,_______,Geography,2
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___ _____/___ ________,Psychology/Sociology,5
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____ _________,Computer Science,22
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____ ____,General Science,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,NULL,NULL,504
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,�______ __________,Mathematics and Science,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,Creative Media Production,Creative Media Production,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,Extra Curricular Activity,Extra Curricular Activity,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _____,Business Management,25
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ ____ _____,Learning Resources specialist,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______,Biology or Life Science,89
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ _________,Moral Education,184
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ _________,Islamic Education,324
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ _______ ,Physical Education and Health,197
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ _________,Music,110
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ ________ _________,Creative Design and Innovation,153
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______ ________ ________ _________,CCDI,48
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,________ __________ ________ _______,National and Social Education,288
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_________,Mathematics,474
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,______ ________,Sports Sciences,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,______ ______,Health Sciences,94
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,______ ______(____)/______ ______ (____),Health Science/Life Skills,50
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,________,French Language,11
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,______ _________,Creative Arts,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,______ _______,Visual Arts,147
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,________,Physics,147
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,________,Chemistry,96
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ __________,English,436
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _______,Arabic Language,453
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _______ _ ________ _________,Arabic and Islamic Studies,24
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,________ ________,Specialized Skills,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ ____,Special Education,11
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _______,Information Technology,88
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_______,Geography/Economics,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____,Drama,99
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ _______ _______,KG English,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ _______ ____,KG Arabic,208
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___ _____/___ ________,Psychology/Sociology,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ _________,Computer Science,120
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,General Science,359
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,__ _____,Not Applied,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____1,Field 1,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____2,Field 2,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ ____,Learning Resources,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ________,Optional Courses,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,NULL,NULL,13
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ _____,Business Management,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______,Biology or Life Science,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______,History,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ _________,Moral Education,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ _________,Islamic Education,12
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ _______ ,Physical Education and Health,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ _________,Music,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ ________ _________,Creative Design and Innovation,13
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_______ ________ ________ _________,CCDI,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,________ __________ ________ _______,National and Social Education,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_________,Mathematics,27
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,______ ______,Health Sciences,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,______ ______(____)/______ ______ (____),Health Science/Life Skills,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,______ _______,Visual Arts,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,________,Physics,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,________,Chemistry,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ __________,English,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ _______,Arabic Language,17
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ ____,Special Education,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ _______,Information Technology,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____,Drama,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____ _______ _______,KG English,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____ _______ ____,KG Arabic,11
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____ _________,Computer Science,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____ ____,General Science,23
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____1,Field 1,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____2,Field 2,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,NULL,NULL,575
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,�______ __________,Mathematics and Science,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,Applied Engineering and Technology,Applied Engineering,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,Extra Curricular Activity,Extra Curricular Activity,66
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,Health Science Technology,Health Science Technology,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,Student Academic Mentoring,Student Academic Mentoring,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _____,Business Management,77
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______,Biology or Life Science,106
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ _____ ________,Environmental Health and Safety,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______,History,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ _________,Moral Education,222
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ _________,Islamic Education,344
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ _______ ,Physical Education and Health,182
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ _________,Music,132
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ ________ _________,Creative Design and Innovation,157
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,__________,Earth/Space Science/Geology,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______ ________ ________ _________,CCDI,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,________ __________ ________ _______,National and Social Education,308
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_________,Mathematics,541
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ ________,Sports Sciences,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ ________,Agricultural Sciences,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ ______,Health Sciences,64
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,37
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ _________,Creative Arts,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,______ _______,Visual Arts,169
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,________,Physics,144
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,________,Chemistry,93
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ __________,English,435
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _______,Arabic Language,479
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _______ _ ________ _________,Arabic and Islamic Studies,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ ____,Special Education,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _______,Information Technology,171
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_______,Geography/Economics,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____,Drama,129
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _______ _______,KG English,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _______ ____,KG Arabic,204
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___ _____/___ ________,Psychology/Sociology,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _________,Computer Science,73
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ ____,General Science,402
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,__ _____,Not Applied,32
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____1,Field 1,22
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____2,Field 2,19
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ ____,Learning Resources,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ ________,Optional Courses,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,NULL,NULL,31
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,Extra Curricular Activity,Extra Curricular Activity,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _____,Business Management,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______,Biology or Life Science,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ _________,Moral Education,15
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ _________,Islamic Education,27
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ _______ ,Physical Education and Health,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ _________,Music,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ ________ _________,Creative Design and Innovation,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_______ ________ ________ _________,CCDI,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,________ __________ ________ _______,National and Social Education,23
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_________,Mathematics,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,______ ______,Health Sciences,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,______ ______(____)/______ ______ (____),Health Science/Life Skills,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,______ _______,Visual Arts,16
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,________,Physics,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,________,Chemistry,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ __________,English,32
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _______,Arabic Language,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _______ _ ________ _________,Arabic and Islamic Studies,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _______,Information Technology,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____,Drama,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _______ ____,KG Arabic,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _________,Computer Science,15
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,General Science,27
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____1,Field 1,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,NULL,NULL,248
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,�______ ______,Personal development,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,�______ __________,Mathematics and Science,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,Computing and Artificial Intelligence,Computing and Artificial Intelligence,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,Creative Media Production,Creative Media Production,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,Extra Curricular Activity,Extra Curricular Activity,39
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,Health Science Technology,Health Science Technology,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ _____,Business Management,28
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______,Biology or Life Science,81
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ ______/_____ _______,Professional Guidance/Entrepreneurship,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______,History,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ _________,Moral Education,126
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ _________,Islamic Education,197
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ _______ ,Physical Education and Health,129
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ _________,Music,83
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ ________ _________,Creative Design and Innovation,106
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______ ________ ________ _________,CCDI,15
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,________ __________ ________ _______,National and Social Education,166
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_________,Mathematics,299
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______,Chinese Language,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ ________,Sports Sciences,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ ______,Health Sciences,73
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ ______(____)/______ ______ (____),Health Science/Life Skills,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,________,French Language,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ _________,Creative Arts,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ _______,Visual Arts,111
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,________,Physics,106
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,________,Chemistry,76
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ __________,English,259
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ _______,Arabic Language,269
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ _______ _ ________ _________,Arabic and Islamic Studies,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,________ ________,Specialized Skills,11
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ ____,Special Education,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ _______,Information Technology,64
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______,Geography,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_______,Geography/Economics,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____,Drama,76
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _______ _______,KG English,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _______ ____,KG Arabic,79
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___ _____/___ ________,Psychology/Sociology,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _________,Computer Science,82
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,General Science,236
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,__ _____,Not Applied,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____1,Field 1,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____2,Field 2,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ ____,Learning Resources,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,______ ______,Professional Skills,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ________,Optional Courses,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,NULL,NULL,26
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,�______ __________,Mathematics and Science,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ _____,Business Management,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______,Biology or Life Science,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ _________,Moral Education,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ _________,Islamic Education,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ _______ ,Physical Education and Health,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ _________,Music,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ ________ _________,Creative Design and Innovation,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______ ________ ________ _________,CCDI,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,________ __________ ________ _______,National and Social Education,26
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_________,Mathematics,46
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,______ _______,Visual Arts,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,________,Physics,17
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,________,Chemistry,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ __________,English,44
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ _______,Arabic Language,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ ____,Special Education,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ _______,Information Technology,20
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_______,Geography/Economics,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____,Drama,7
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _______ _______,KG English,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _______ ____,KG Arabic,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___ _____/___ ________,Psychology/Sociology,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _________,Computer Science,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,General Science,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,__ _____,Not Applied,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____1,Field 1,17
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____2,Field 2,12
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,NULL,NULL,92
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,Extra Curricular Activity,Extra Curricular Activity,42
